permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_origin,route_intersection_origin_x_coords,route_intersection_origin_y_coords,route_intersection_1,route_intersection_1_x_coords,route_intersection_1_y_coords,route_intersection_2,route_intersection_2_x_coords,route_intersection_2_y_coords,route_intersection_3,route_intersection_3_x_coords,route_intersection_3_y_coords,route_intersection_4,route_intersection_4_x_coords,route_intersection_4_y_coords,route_intersection_5,route_intersection_5_x_coords,route_intersection_5_y_coords,route_intersection_6,route_intersection_6_x_coords,route_intersection_6_y_coords,route_intersection_7,route_intersection_7_x_coords,route_intersection_7_y_coords,route_intersection_8,route_intersection_8_x_coords,route_intersection_8_y_coords,route_intersection_9,route_intersection_9_x_coords,route_intersection_9_y_coords,route_intersection_10,route_intersection_10_x_coords,route_intersection_10_y_coords,route_intersection_11,route_intersection_11_x_coords,route_intersection_11_y_coords,route_intersection_12,route_intersection_12_x_coords,route_intersection_12_y_coords,route_intersection_13,route_intersection_13_x_coords,route_intersection_13_y_coords,route_intersection_14,route_intersection_14_x_coords,route_intersection_14_y_coords,route_intersection_15,route_intersection_15_x_coords,route_intersection_15_y_coords,route_intersection_16,route_intersection_16_x_coords,route_intersection_16_y_coords,route_intersection_17,route_intersection_17_x_coords,route_intersection_17_y_coords,route_intersection_18,route_intersection_18_x_coords,route_intersection_18_y_coords
e24-000228,2024,01/03/2024,01/09/2024,KOMATSU 155 DOZER,California,Los Hills,Bakersfield,* from lost hills rd/woodward rd - 046e - 005s - to stockdale highway exit (stockdale highway w/b off ramp exit number 253) ** from stockdale hwy n/b on ramp - 058e - to coffee rd n/b off ramp exit *,"lost hills rd Los Hills, California","lost hills rd Los Hills, California and SR-46",-119.6898,35.6160851,I-5 AND SR-46,-119.6532836,35.6161199,I-5 AND STOCKDALE HIGHWAY,-119.335958,35.354969,STOCKDALE HIGHWAY AND SR-58,-119.250133,35.354372,SR-58 AND COFFEE RD,-119.09207,35.3670298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000212,2024,01/03/2024,01/09/2024,CAT D-10T DOZER,California,Winchester,Riverside,* from scott rd w/b on ramp - 215n - to alessandro blvd exit (alessandro blvd w/b off ramp) *,"scott rd Winchester, California","scott rd Winchester, California and I-215",-117.1712277,33.6417396,I-215 AND ALESSANDRO BLVD,-117.2875326,33.916806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000283,2024,01/04/2024,01/10/2024,MODULAR SECTION,California,Santa Paula,Malibu,* peck rd oc over hwy 126 * from wells rd - 118e - to santa clara ave exit (santa clara ave) ** from santa clara ave w/b on ramp - 101s - to del norte blvd exit (del norte blvd w/b off ramp exit number 59) ** from del norte blvd - 034e - to las posas rd(south jct) exit (las posas rd(south jct)) ** from las posas rd w/b on ramp - 001s - to guernsey ave exit (guernsey ave) *,"wells rd Santa Paula, California","wells rd Santa Paula, California and SR-118",-119.1563674,34.2896398,SR-1 AND GUERNSEY AVE,-118.839274,34.028153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000333,2024,01/03/2024,01/09/2024,CONTROL ROOM ENCLOSURE #1393863,California,Nevada,Grand Terrace,* from nv line 15 - 015s - 215s - to iowa ave exit (iowa ave e/b off ramp) *,"nv line Nevada, California","nv line Nevada, California and I-15",-115.3916369,35.6063268,I-15 AND I-215,-117.408750,34.223824,I-215 AND IOWA AVE,-117.335498,34.0238588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000050,2024,01/02/2024,01/08/2024,"SCR Exhaust system, single item",California,Az Line 40,Santa Clara,* from az line 40 - 040w - 015s - 058w - 099n - 120w - 005s - 205w - 580w - 680s - 280n - to lawrence expressway exit (lawrence expressway e/b off ramp exit number 9a) *,"az line Az Line 40, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-15 AND I-40,-117.008954,34.886545,I-15 AND SR-58,-117.076548,34.870725,SR-58 AND SR-99,-119.0395304,35.3526592,SR-99 AND SR-120,-121.191302,37.797509,I-5 AND SR-120,-121.3018261,37.7887748,I-5 AND I-205,-121.3212098,37.7747996,I-205 AND I-580,-121.566683,37.742415,I-580 AND I-680,-121.922687,37.700955,I-280 AND I-680,-121.8589036,37.3352733,I-280 AND LAWRENCE EXPRESSWAY,-121.9953508,37.3199093,,,,,,,,,,,,,,,,,,,,,,,,
e24-000214,2024,01/03/2024,01/09/2024,JD 460 ROCK TRUCK (WCS 1395089),California,Anaheim,Simi Valley,* from katella ave w/b on ramp - 057n - 060e - 057n - 210w - 118w - to madera rd north exit (madera rd n/b off ramp) *,"katella ave Anaheim, California","katella ave Anaheim, California and SR-57",,,SR-57 AND SR-60,-117.833789,34.002173,SR-57 AND SR-60,-117.833789,34.002173,SR-57 AND SR-210,-117.8243558,34.1205105,SR-118 AND SR-210,-118.407578,34.288108,SR-118 AND MADERA RD,-118.7928193,34.283802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000123,2024,01/03/2024,01/09/2024,(60) Modular Building #1394912,California,Nv 80,Greenfield,* from nv line 80 - 080w - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) ** from east st w/b on ramp - 005s - 113s - 080w - 680s - 101s - to espinosa rd exit (south greenfield e/b off ramp) ** from south greenfield e/b on ramp - 101n - to walnut ave exit (walnut ave e/b off ramp) *,"nv line Nv 80, California",I-80 and Nevada Line,-120.0029073,39.4681518,I-5 AND I-80,-121.5171204,38.6248864,I-5 AND SR-113,-121.751637,38.685321,I-5 AND SR-113,-121.751637,38.685321,I-5 AND SR-113,-121.751637,38.685321,I-80 AND SR-113,-121.7702521,38.519704,I-80 AND I-680,-122.1379333,38.2163797,US-101 AND I-680,-121.851952,37.339616,US-101 AND WALNUT AVE,-121.243895,36.329390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000213,2024,01/03/2024,01/09/2024,JD 460 ROCK TRUCK (WCS 1395089),California,Anaheim,Simi Valley,* from katella ave w/b on ramp - 057n - 060e - 057n - 210w - 118w - to madera rd north exit (madera rd n/b off ramp) *,"katella ave Anaheim, California","katella ave Anaheim, California and SR-57",,,SR-57 AND SR-60,-117.833789,34.002173,SR-57 AND SR-60,-117.833789,34.002173,SR-57 AND SR-210,-117.8243558,34.1205105,SR-118 AND SR-210,-118.407578,34.288108,SR-118 AND MADERA RD,-118.7928193,34.283802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000230,2024,01/03/2024,01/09/2024,LINKBELT TC750 CRAWLER CRANE,California,Chino,Corona,* from butterfield ranch rd e/b on ramp - 071s - 091e - to serfas club dr/auto center dr exit (serfas club dr s/b off ramp) *,"butterfield ranch rd Chino, California","butterfield ranch rd Chino, California and SR-71",-117.6594816,33.9307001,SR-71 AND SR-91,-117.641555,33.883280,SR-91 AND SERFAS CLUB DR,-117.6131851,33.8807408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000215,2024,01/03/2024,01/09/2024,CAT 730 HAUL TRUCK,California,Az Line  10,Blythe,* from az line 10 - 010w - 095n - to 2nd ave exit *,"az line Az Line  10, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-10 AND US-95,-114.5706989,33.6072721,SR-2 AND US-95,-114.5726544,33.6907779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000232,2024,01/04/2024,01/10/2024,EMPTY FIBERGLASS WATER TANKS (QTY 2 E/E),California,"4752 E Carmen Ave, Fresno, Ca 93703","4444 Commerce Ln, Orland, Ca 95963",* from chestnut ave s/b on ramp - 180w - 099n - 152w - 005n - to rte 32 - chico exit (newville rd/co rd 200 w/b off ramp exit number 619) *,"chestnut ave 4752 E Carmen Ave, Fresno, Ca 93703, California","chestnut ave 4752 E Carmen Ave, Fresno, Ca 93703, California and SR-180",-119.7362727,36.7547377,SR-99 AND SR-180,-119.814729,36.740875,SR-99 AND SR-152,-120.209553,37.084135,I-5 AND SR-152,-120.9698301,37.0566575,I-5 AND SR-32,-122.205501,39.75032,SR-32 AND CHICO,-122.2089878,39.7518242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000221,2024,01/03/2024,01/09/2024,HITACHI  520 EXCAVATOR            HARTILLRACKLEYBP9,California,Watsonville,Stockton,* from jensen rd - 001s - to nashua rd exit (nashua rd e/b off ramp exit number 414) - from molera rd e/b on ramp - 001n - 156e - 101n - 680n - 580e - 132e - 005n - 004w - to navy dr/stockton st exit (navy dr/stockton st) *,"jensen rd Watsonville, California","jensen rd Watsonville, California and SR-1",-121.7711038,36.8538033,SR-1 AND SR-156,-121.7656141,36.7529187,US-101 AND SR-156,-121.580293,36.861684,US-101 AND I-680,-121.851952,37.339616,I-580 AND I-680,-121.922687,37.700955,SR-132 AND I-580,-121.402762,37.639306,I-5 AND SR-132,-121.3430842,37.6377555,SR-4 AND I-5,-121.300591,37.948246,SR-4 AND NAVY DR,-121.299905,37.936826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000225,2024,01/03/2024,01/09/2024,LINKBELT RTC 8090 CRANE,California,Rosamond,Long Beach,* from rosamond blvd w/b on ramp - 14s - 5s - 405s - 101n to hayvenhurst ave w/b off ramp exit # 20 - from hayvenhurst ave w/b on ramp - 101s - 405s to spring st w/b off ramp exit # 29a *,"rosamond blvd Rosamond, California","rosamond blvd Rosamond, California and SR-14",-118.1717299,34.8642482,I-5 AND SR-14,-118.507427,34.3326266,I-5 AND I-405,-117.7303127,33.6389622,US-101 AND I-405,-118.469457,34.160374,US-101 AND I-405,-118.2847008,33.8568989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000222,2024,01/03/2024,01/09/2024,TRANSFORMER,California,Az Line,Carson,* from az line 10 - 010w - to corn springs rd exit (corn springs rd n/b off ramp exit number 201) - detour via ramps - from corn springs rd s/b on  ramp - 010w - 605n - to ramona blvd exit (ramona blvd w/b off ramp) - from ramona blvd w/b on ramp - 605s - 105w - 710s - 405n - to wilmington ave exit (wilmington ave w/b off ramp exit number 33b) *,"az line Az Line, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-10 AND I-605,-118.0000932,34.0650647,I-105 AND I-605,-118.1048384,33.9139358,I-105 AND I-710,-118.1801015,33.9128225,I-405 AND I-710,-118.2074519,33.8263771,I-405 AND WILMINGTON AVE,-118.2416888,33.8258467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000563,2024,01/05/2024,01/11/2024,Tadano AC7.450-1 7 Axle Crane - 15005,California,Stockton,Rocklin,* from mariposa rd e/b on ramp - 099n - 051n (bus 80/capital cit fwy) - to `t` st exit ('t' st e/b off ramp exit number 6c) * from `e` st w/b on ramp - 051n (bus 80/capital cit fwy) - 080e - 065n - to sunset blvd exit (sunset blvd w/b off ramp exit number 311) *,"mariposa rd Stockton, California","mariposa rd Stockton, California and SR-99",-121.2341646,37.9333815,SR-51 AND SR-99,-121.473416,38.559038,SR-51 AND I-80,-121.375460,38.647059,SR-65 AND I-80,-121.248770,38.769878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000233,2024,01/05/2024,01/11/2024,UNLADEN 9 AXLE COMBINATION WITH 12' WIDE DECK(METRO),California,Stockton,Mare Island,* eight mile rd over 99 * from eight mile rd - 88w - to waterloo rd exit ** from wilson way s/b onramp - 4w - 5s - 205w - 580w - 680n - 80w - 37w - to mare island exit (walnut ave s/b offramp exit 17) *,"eight mile rd Stockton, California","eight mile rd Stockton, California and SR-88",-121.1887117,38.0579491,SR-4 AND I-5,-121.300591,37.948246,I-5 AND I-205,-121.3212098,37.7747996,I-205 AND I-580,-121.566683,37.742415,I-580 AND I-680,-121.922687,37.700955,I-80 AND I-680,-122.1379333,38.2163797,SR-37 AND I-80,-122.2168017,38.1454187,SR-37 AND MARE ISLAND,-122.2895326,38.1174175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000066,2024,01/04/2024,01/10/2024,DERRICK STAND,California,Arvin,Santa Barbara,* from malaga rd - 223w - 005n - 046w - 101s - 154e - to paradise rd exit *,"malaga rd Arvin, California","malaga rd Arvin, California and SR-223",-118.8601993,35.2089111,I-5 AND SR-223,-119.1629213,35.209104,I-5 AND SR-46,-119.6532836,35.6161199,SR-46 AND US-101,-120.685089,35.642589,US-101 AND SR-154,-120.157734,34.687873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000223,2024,01/04/2024,01/10/2024,CAT 637 SCRAPER,California,Perris,Chula Vista,* from placentia ave w/b on ramp - 215s - 015s - 805s - to `h` st  west exit ('h' st w/b off ramp exit number 7b) *,"placentia ave Perris, California","placentia ave Perris, California and I-215",-117.2412497,33.8230715,I-15 AND I-215,-117.408750,34.223824,I-15 AND I-805,-117.114120,32.738542,I-805 AND `H` ST,-117.0553991,32.6405398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000231,2024,01/05/2024,01/11/2024,LIGHT RAIL VEHICLE (PH),California,Sacramento,Ca/Az Line On 10,* calvine rd over 99 * from cosumnes river blvd w/b onramp - 5s - 12e - to thornton rd * eight mile rd over 99 * from eight mile rd - 88w - to waterloo rd ** from wilson way s/b onramp - 4w - to el dorado st/center st exit (center st s/b offramp exit 66a) ** from south el dorado st w/b onramp - 5s - 119e - to taft highway/panama rd ** from panama rd - 184n - 58e - 15n - 40e - 95s - 10e - to az line 10 exit *,"cosumnes river blvd Sacramento, California","cosumnes river blvd Sacramento, California and I-5",-121.4970381,38.4665695,I-5 AND SR-12,-121.3978848,38.1154351,I-5 AND SR-119,-119.224524,35.2670658,SR-119 AND TAFT HIGHWAY,-119.229130,35.267131,TAFT HIGHWAY AND SR-184,-118.914408,35.266931,SR-58 AND SR-184,-118.9141569,35.3521819,I-15 AND SR-58,-117.076548,34.870725,I-15 AND I-40,-117.008954,34.886545,I-40 AND US-95,-114.5969206,34.8240555,I-10 AND US-95,-114.5706989,33.6072721,I-10 AND AZ LINE,-114.5311155,33.6047178,,,,,,,,,,,,,,,,,,,,,,,,
e24-000235,2024,01/05/2024,01/11/2024,UNLADEN 9 AXLE COMBINATION WITH 12' WIDE DECK(270),California,Stockton,Sacramento,* from eight mile rd e/b on ramp - 099n - to florin rd east exit (florin rd e/b off ramp) *,"eight mile rd Stockton, California","eight mile rd Stockton, California and SR-99",-121.2593986,38.0569109,SR-99 AND FLORIN RD,-121.446027,38.4961186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000244,2024,01/03/2024,01/09/2024,HAVESTER (WCS# 1395128),California,Greenfield,Cattlemman,* from oak ave w/b on ramp - 101s - to san ardo exit (cattleman rd e/b off ramp) *,"oak ave Greenfield, California","oak ave Greenfield, California and US-101",-121.2381811,36.3237725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000226,2024,01/03/2024,01/09/2024,CAT 637 SCRAPER,California,Wildomar,Chula Vista,* from clinton keith rd e/b on ramp - 015s - 805s - to `h` st  west exit ('h' st w/b off ramp exit number 7b) *,"clinton keith rd Wildomar, California","clinton keith rd Wildomar, California and I-15",-117.2449629,33.5958159,I-15 AND I-805,-117.114120,32.738542,I-805 AND `H` ST,-117.0553991,32.6405398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000224,2024,01/04/2024,01/10/2024,CAT 374 EXCAVATOR,California,Livermore,San Leandro,* from el charro rd n/b on ramp - 580w - 238n - to washington ave exit (washington ave e/b off ramp) *,"el charro rd Livermore, California","el charro rd Livermore, California and I-580",,,SR-238 AND I-580,-122.097650,37.690007,SR-238 AND WASHINGTON AVE,-122.1388351,37.6911925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000227,2024,01/03/2024,01/09/2024,FORKLIFT,California,Irwindale,Pico Rivera,* from live oak ave w/b on ramp - 605s - to rose hills rd w/b off ramp exit # 17 *,"live oak ave Irwindale, California","live oak ave Irwindale, California and I-605",-117.9778661,34.1148935,I-605 AND ROSE HILLS RD,-118.0523516,34.0176135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000242,2024,01/05/2024,01/11/2024,Unladen,California,"Modesto, Ca",Arizona Border,* from kansas ave e/b on ramp - 099s - 058e - 015n - 040e - to az line 40 exit *,"kansas ave Modesto, Ca, California","kansas ave Modesto, Ca, California and SR-99",-121.0164524,37.6459577,SR-58 AND SR-99,-119.0395304,35.3526592,I-15 AND SR-58,-117.076548,34.870725,I-15 AND I-40,-117.008954,34.886545,I-40 AND AZ LINE,-114.4878107,34.7171822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000247,2024,01/04/2024,01/10/2024,EMPTY TANK,California,Fresno,Brea,* church ave oc over 99 * jensen ave oc over 41 * from north ave e/b on ramp - 41s - 5s - 223e - 58e - 202w to valley blvd/tucker rd exit * from tehachapi blvd n/b on ramp - 58e - 395s - 15s - 210w - 57s - 60w to grand ave n/b off ramp exit # 24b * from grand ave s/b on ramp - 60w - 57s - 90w to berry st exit (berry st/jasmine dr) *,"north ave Fresno, California","north ave Fresno, California and SR-41",-119.7859356,36.692269,I-5 AND SR-41,-119.9603248,35.9816544,I-5 AND SR-223,-119.1629213,35.209104,SR-58 AND SR-223,-118.658242,35.264251,SR-58 AND SR-202,-118.4673695,35.1413514,SR-58 AND SR-202,-118.4673695,35.1413514,SR-58 AND US-395,-117.542581,34.9957715,I-15 AND US-395,-117.402128,34.398855,I-15 AND SR-210,-117.495885,34.136374,SR-57 AND SR-210,-117.8243558,34.1205105,SR-57 AND SR-60,-117.833789,34.002173,SR-57 AND SR-60,-117.833789,34.002173,SR-57 AND SR-90,-117.8835729,33.9107527,,,,,,,,,,,,,,,,,,
e24-000249,2024,01/04/2024,01/10/2024,EMPTY TANK,California,Fresno,Brea,* church ave oc over 99 * jensen ave oc over 41 * from north ave e/b on ramp - 41s - 5s - 223e - 58e - 202w to valley blvd/tucker rd exit * from tehachapi blvd n/b on ramp - 58e - 395s - 15s - 210w - 57s - 60w to grand ave n/b off ramp exit # 24b * from grand ave s/b on ramp - 60w - 57s - 90w to berry st exit (berry st/jasmine dr) *,"north ave Fresno, California","north ave Fresno, California and SR-41",-119.7859356,36.692269,I-5 AND SR-41,-119.9603248,35.9816544,I-5 AND SR-223,-119.1629213,35.209104,SR-58 AND SR-223,-118.658242,35.264251,SR-58 AND SR-202,-118.4673695,35.1413514,SR-58 AND SR-202,-118.4673695,35.1413514,SR-58 AND US-395,-117.542581,34.9957715,I-15 AND US-395,-117.402128,34.398855,I-15 AND SR-210,-117.495885,34.136374,SR-57 AND SR-210,-117.8243558,34.1205105,SR-57 AND SR-60,-117.833789,34.002173,SR-57 AND SR-60,-117.833789,34.002173,SR-57 AND SR-90,-117.8835729,33.9107527,,,,,,,,,,,,,,,,,,
e24-000246,2024,01/04/2024,01/10/2024,EMPTY TANK,California,Fresno,Brea,* church ave oc over 99 * jensen ave oc over 41 * from north ave e/b on ramp - 41s - 5s - 223e - 58e - 202w to valley blvd/tucker rd exit * from tehachapi blvd n/b on ramp - 58e - 395s - 15s - 210w - 57s - 60w to grand ave s/b off ramp exit # 24b * from grand ave s/b on ramp - 60w - 57s - 90w to berry st exit (berry st/jasmine dr) *,"north ave Fresno, California","north ave Fresno, California and SR-41",-119.7859356,36.692269,I-5 AND SR-41,-119.9603248,35.9816544,I-5 AND SR-223,-119.1629213,35.209104,SR-58 AND SR-223,-118.658242,35.264251,SR-58 AND SR-202,-118.4673695,35.1413514,SR-58 AND SR-202,-118.4673695,35.1413514,SR-58 AND US-395,-117.542581,34.9957715,I-15 AND US-395,-117.402128,34.398855,I-15 AND SR-210,-117.495885,34.136374,SR-57 AND SR-210,-117.8243558,34.1205105,SR-57 AND SR-60,-117.833789,34.002173,SR-57 AND SR-60,-117.833789,34.002173,SR-57 AND SR-90,-117.8835729,33.9107527,,,,,,,,,,,,,,,,,,
e24-000255,2024,01/03/2024,01/09/2024,4 TIRES E TO E,California,Compton,Nevada Line,* from wilmington ave n/b on ramp - 091e - 605n - 210e - 015n - 395n - 006e - to nv line 6 exit *,"wilmington ave Compton, California","wilmington ave Compton, California and SR-91",-118.2360606,33.8737087,SR-91 AND I-605,-118.102481,33.876401,SR-210 AND I-605,-117.957446,34.134298,I-15 AND SR-210,-117.495885,34.136374,I-15 AND US-395,-117.402128,34.398855,US-6 AND US-395,-118.395565,37.374158,US-6 AND NV LINE,-118.4356914,37.9008981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000310,2024,01/04/2024,01/10/2024,DISABLED DAIMLER TRUCK,California,Oregon  Line 5,Riverside,* from or line 5 - 5s - 223e - 58e - 395s - 15s - 60e - to valley way / mission blvd off ramp # 48 * from rubidoux blvd n/b on ramp - 60e - to main st(riverside) s/b off ramp # 52b - detour via ramps - from main st(riverside) n/b on ramp - 60e - 215s - to van buren blvd w/b off ramp *,"or line Oregon  Line 5, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND SR-223,-119.1629213,35.209104,SR-58 AND SR-223,-118.658242,35.264251,SR-58 AND US-395,-117.542581,34.9957715,I-15 AND US-395,-117.402128,34.398855,I-15 AND SR-60,-117.550268,34.021768,SR-60 AND I-215,-117.357307,33.993341,I-215 AND VAN BUREN BLVD,-117.2699709,33.8876494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000237,2024,01/03/2024,01/09/2024,Mobile Home s/n 39480,California,Sacramento,Redding,* from bradshaw rd n/b on ramp - 050w - 005n - 273n - to south st exit (south st) *,"bradshaw rd Sacramento, California","bradshaw rd Sacramento, California and US-50",-121.3363403,38.5659396,I-5 AND US-50,-121.5108873,38.5682793,I-5 AND SR-273,-122.28333,40.4272485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000457,2024,01/06/2024,01/12/2024,GROVE GMK 7550 TRUCK CRANE  UNIT# 2172,California,Lakeside (10168 Channel Rd),San Diego,* from mapleview st/lake jennings park rd - 067s - 052w - 005s - to rosecrans st exit (rosecrans st w/b off ramp exit number 20) *,"mapleview st Lakeside (10168 Channel Rd), California","mapleview st Lakeside (10168 Channel Rd), California and SR-67",-116.9230021,32.8628335,SR-52 AND SR-67,-116.962491,32.8322913,I-5 AND SR-52,-117.2347813,32.8376004,I-5 AND ROSECRANS ST,-117.2048652,32.7515131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000456,2024,01/06/2024,01/12/2024,GROVE GMK 7550 TRUCK CRANE  UNIT# 2172,California,San Diego,Lakeside (10168 Channel Rd),* from camino del rio west e/b on ramp - 005n - 052e - 067n - to mapleview st exit (mapleview st/lake jennings park rd) *,"camino del rio west e San Diego, California","camino del rio west e San Diego, California and I-5",-117.2036847,32.7582733,I-5 AND SR-52,-117.2347813,32.8376004,SR-52 AND SR-67,-116.962491,32.8322913,SR-67 AND MAPLEVIEW ST,-116.9229699,32.8628605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000236,2024,01/04/2024,01/10/2024,SPRAYER TRACTOR,California,Nv Line,Stockton,* from nv line 80 - 080w - 005s - to mathews rd exit (mathews rd w/b off ramp exit number 467b) *,"nv line Nv Line, California",I-80 and Nevada Line,-120.0029073,39.4681518,I-5 AND I-80,-121.5171204,38.6248864,I-5 AND MATHEWS RD,-121.2788959,37.8820115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000238,2024,01/03/2024,01/09/2024,LIEBHERR LTM1400-7.1 #1395118,California,Santa Clara,San Leandro,* from san tomas expwy e/b on ramp - 101s - 880n - to hesperian blvd exit (hesperian blvd e/b off ramp) ** from lewelling blvd w/b on ramp - 880n - to 98th ave exit (98th ave w/b off ramp exit number 35) *,"san tomas expwy e Santa Clara, California","san tomas expwy e Santa Clara, California and US-101",-121.963906,37.3819301,US-101 AND I-880,-121.901850,37.364156,SR-98 AND I-880,-122.18856,37.7318175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000248,2024,01/04/2024,01/10/2024,AG TRACTOR,California,Salida,Thornton,* from broadway ave(salida) e/b on ramp - 099n - 120w - 005n - to thornton exit (walnut grove rd w/b off ramp exit number 493) *,"broadway ave Salida, California","broadway ave Salida, California and SR-99",-121.0810494,37.7090101,SR-99 AND SR-120,-121.191302,37.797509,I-5 AND SR-120,-121.3018261,37.7887748,I-5 AND THORNTON,-121.4308054,38.22604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000263,2024,01/03/2024,01/09/2024,Cat 631 Scraper,California,"1000 Howard Rd,  Camarillo",Rosamond,* from pleasant valley rd e/b on ramp - 101n - to lewis rd exit (daily dr e/b off ramp exit number 53b) * from dailey dr - 034e - 118e - to rocky peak rd exit (rocky peak rd s/b off ramp) - detour via ramps - from rocky peak rd n/b on ramp - 118e - 210w - 005n - 014n - to escondido cyn rd exit (escondido cyn rd e/b off ramp exit number 19) * from ward rd w/b on ramp - 014n - to ave `h` exit (ave 'h'  w/b off ramp exit number 45) *,"pleasant valley rd 1000 Howard Rd,  Camarillo, California","pleasant valley rd 1000 Howard Rd,  Camarillo, California and US-101",,,SR-34 AND SR-118,-118.994689,34.263741,SR-118 AND SR-210,-118.407578,34.288108,I-5 AND SR-210,-118.4903133,34.3159777,I-5 AND SR-14,-118.507427,34.3326266,SR-14 AND AVE,-118.1717521,34.8642512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000245,2024,01/03/2024,01/09/2024,"Crated (to protect from weather conditions) cutting machine, single item",California,El Monte,Az Line 40,* from valley blvd e/b on ramp - 605n - 210e - 015n - 040e - to az line 40 exit *,"valley blvd El Monte, California","valley blvd El Monte, California and I-605",-118.0042484,34.0543521,SR-210 AND I-605,-117.957446,34.134298,I-15 AND SR-210,-117.495885,34.136374,I-15 AND I-40,-117.008954,34.886545,I-40 AND AZ LINE,-114.4878107,34.7171822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000251,2024,01/03/2024,01/09/2024,SILO Tank,California,I-5 & Or Line,"208 N Cesar Chavez, Santa Barbara, Ca 93103",* from or line 5 - 005s - 505s - 080w - 680s - 101s - to garden st exit (garden st e/b off ramp) *,"or line I-5 & Or Line, California",I-5 and Oregon Line,-122.6154688,42.0053774,I-5 AND I-505,-121.941668,38.849695,I-80 AND I-505,-121.9563057,38.370683,I-80 AND I-680,-122.1379333,38.2163797,US-101 AND I-680,-121.851952,37.339616,US-101 AND GARDEN ST,-119.6898229,34.4182135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e24-000243,2024,01/03/2024,01/09/2024,ROBOT MACHINE,California,Terminal Island,Long Beach,* anaheim st uc under rte 103 * from santa fe ave - 001s - to cherry ave exit (cherry ave) *,"santa fe ave Terminal Island, California","santa fe ave Terminal Island, California and SR-1",-118.215487,33.7898411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
